DATE,NAV
19-Apr-17,37.5781
20-Apr-17,37.5724
21-Apr-17,37.4729
24-Apr-17,37.5067
25-Apr-17,37.565
26-Apr-17,37.5188
27-Apr-17,37.5355
28-Apr-17,37.5279
02-May-17,37.5022
03-May-17,37.5212
04-May-17,37.5179
05-May-17,37.5591
08-May-17,37.6109
09-May-17,37.6327
11-May-17,37.649
12-May-17,37.7047
15-May-17,37.9227
16-May-17,37.8756
17-May-17,37.8773
18-May-17,37.906
19-May-17,37.8755
22-May-17,38.0023
23-May-17,38.0338
24-May-17,38.0338
25-May-17,38.1038
26-May-17,38.1633
29-May-17,38.157
30-May-17,38.1755
31-May-17,38.1896
01-Jun-17,38.3387
02-Jun-17,38.3412
05-Jun-17,38.352
06-Jun-17,38.4026
07-Jun-17,38.6778
08-Jun-17,38.9521
09-Jun-17,39.0155
12-Jun-17,39.0066
13-Jun-17,39.1183
14-Jun-17,39.1254
15-Jun-17,39.108
16-Jun-17,39.0805
19-Jun-17,39.142
20-Jun-17,39.1725
21-Jun-17,39.2201
22-Jun-17,39.1758
23-Jun-17,39.1789
27-Jun-17,39.1738
28-Jun-17,39.0411
29-Jun-17,39.0468
30-Jun-17,39.0449
03-Jul-17,38.8652
04-Jul-17,38.849
05-Jul-17,38.8819
06-Jul-17,38.9134
07-Jul-17,38.9458
10-Jul-17,39.1074
11-Jul-17,39.0935
12-Jul-17,39.121
13-Jul-17,39.1536
14-Jul-17,39.1288
17-Jul-17,39.1474
18-Jul-17,39.1805
19-Jul-17,39.2511
20-Jul-17,39.2363
21-Jul-17,39.3346
24-Jul-17,39.4043
25-Jul-17,39.3319
26-Jul-17,39.3056
27-Jul-17,39.3069
28-Jul-17,39.2409
31-Jul-17,39.2276
01-Aug-17,39.291
02-Aug-17,39.2629
03-Aug-17,39.396
04-Aug-17,39.3873
07-Aug-17,39.3521
08-Aug-17,39.3501
09-Aug-17,39.3417
10-Aug-17,39.2861
11-Aug-17,39.2715
14-Aug-17,39.2689
16-Aug-17,39.2522
18-Aug-17,39.2907
21-Aug-17,39.2911
22-Aug-17,39.2627
23-Aug-17,39.2764
24-Aug-17,39.2761
28-Aug-17,39.2557
29-Aug-17,39.3454
